Regional_Grouping,Region,Region_Code,M49Region_Code,Country,ISO3Code,M49_Code
AUREC,Arab Maghreb Union (AMU),SDGRC_ECA_AMU,98111,Algeria,DZA,12
AUREC,Arab Maghreb Union (AMU),SDGRC_ECA_AMU,98111,Libya,LBY,434
AUREC,Arab Maghreb Union (AMU),SDGRC_ECA_AMU,98111,Mauritania,MRT,478
AUREC,Arab Maghreb Union (AMU),SDGRC_ECA_AMU,98111,Morocco,MAR,504
AUREC,Arab Maghreb Union (AMU),SDGRC_ECA_AMU,98111,Tunisia,TUN,788
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Algeria,DZA,12
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Angola,AGO,24
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Benin,BEN,204
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Botswana,BWA,72
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Burkina Faso,BFA,854
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Burundi,BDI,108
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Cabo Verde,CPV,132
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Cameroon,CMR,120
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Central African Republic,CAF,140
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Chad,TCD,148
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Comoros,COM,174
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Congo,COG,178
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Côte d'Ivoire,CIV,384
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Democratic Republic of the Congo,COD,180
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Djibouti,DJI,262
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Egypt,EGY,818
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Equatorial Guinea,GNQ,226
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Eritrea,ERI,232
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Eswatini,SWZ,748
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Ethiopia,ETH,231
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Gabon,GAB,266
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Gambia,GMB,270
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Ghana,GHA,288
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Guinea,GIN,324
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Guinea-Bissau,GNB,624
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Kenya,KEN,404
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Lesotho,LSO,426
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Liberia,LBR,430
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Libya,LBY,434
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Madagascar,MDG,450
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Malawi,MWI,454
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Mali,MLI,466
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Mauritania,MRT,478
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Mauritius,MUS,480
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Morocco,MAR,504
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Mozambique,MOZ,508
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Namibia,NAM,516
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Niger,NER,562
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Nigeria,NGA,566
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Rwanda,RWA,646
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Sao Tome and Principe,STP,678
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Senegal,SEN,686
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Seychelles,SYC,690
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Sierra Leone,SLE,694
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Somalia,SOM,706
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,South Africa,ZAF,710
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,South Sudan,SSD,728
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Sudan,SDN,729
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Togo,TGO,768
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Tunisia,TUN,788
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Uganda,UGA,800
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,United Republic of Tanzania,TZA,834
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Zambia,ZMB,894
AUREC,ECA_All countries,SDGRC_ECA_ALL,98100,Zimbabwe,ZWE,716
AUREC,Community of Sahel-Saharan States (CEN-SAD),SDGRC_ECA_CEN_SAD,98112,Benin,BEN,204
AUREC,Community of Sahel-Saharan States (CEN-SAD),SDGRC_ECA_CEN_SAD,98112,Burkina Faso,BFA,854
AUREC,Community of Sahel-Saharan States (CEN-SAD),SDGRC_ECA_CEN_SAD,98112,Central African Republic,CAF,140
AUREC,Community of Sahel-Saharan States (CEN-SAD),SDGRC_ECA_CEN_SAD,98112,Chad,TCD,148
AUREC,Community of Sahel-Saharan States (CEN-SAD),SDGRC_ECA_CEN_SAD,98112,Comoros,COM,174
AUREC,Community of Sahel-Saharan States (CEN-SAD),SDGRC_ECA_CEN_SAD,98112,Côte d'Ivoire,CIV,384
AUREC,Community of Sahel-Saharan States (CEN-SAD),SDGRC_ECA_CEN_SAD,98112,Djibouti,DJI,262
AUREC,Community of Sahel-Saharan States (CEN-SAD),SDGRC_ECA_CEN_SAD,98112,Egypt,EGY,818
AUREC,Community of Sahel-Saharan States (CEN-SAD),SDGRC_ECA_CEN_SAD,98112,Eritrea,ERI,232
AUREC,Community of Sahel-Saharan States (CEN-SAD),SDGRC_ECA_CEN_SAD,98112,Gambia,GMB,270
AUREC,Community of Sahel-Saharan States (CEN-SAD),SDGRC_ECA_CEN_SAD,98112,Ghana,GHA,288
AUREC,Community of Sahel-Saharan States (CEN-SAD),SDGRC_ECA_CEN_SAD,98112,Guinea-Bissau,GNB,624
AUREC,Community of Sahel-Saharan States (CEN-SAD),SDGRC_ECA_CEN_SAD,98112,Libya,LBY,434
AUREC,Community of Sahel-Saharan States (CEN-SAD),SDGRC_ECA_CEN_SAD,98112,Mali,MLI,466
AUREC,Community of Sahel-Saharan States (CEN-SAD),SDGRC_ECA_CEN_SAD,98112,Mauritania,MRT,478
AUREC,Community of Sahel-Saharan States (CEN-SAD),SDGRC_ECA_CEN_SAD,98112,Morocco,MAR,504
AUREC,Community of Sahel-Saharan States (CEN-SAD),SDGRC_ECA_CEN_SAD,98112,Niger,NER,562
AUREC,Community of Sahel-Saharan States (CEN-SAD),SDGRC_ECA_CEN_SAD,98112,Nigeria,NGA,566
AUREC,Community of Sahel-Saharan States (CEN-SAD),SDGRC_ECA_CEN_SAD,98112,Senegal,SEN,686
AUREC,Community of Sahel-Saharan States (CEN-SAD),SDGRC_ECA_CEN_SAD,98112,Sierra Leone,SLE,694
AUREC,Community of Sahel-Saharan States (CEN-SAD),SDGRC_ECA_CEN_SAD,98112,Somalia,SOM,706
AUREC,Community of Sahel-Saharan States (CEN-SAD),SDGRC_ECA_CEN_SAD,98112,Sudan,SDN,729
AUREC,Community of Sahel-Saharan States (CEN-SAD),SDGRC_ECA_CEN_SAD,98112,Togo,TGO,768
AUREC,Community of Sahel-Saharan States (CEN-SAD),SDGRC_ECA_CEN_SAD,98112,Tunisia,TUN,788
AUREC,Common Market for Eastern and Southern Africa (COMESA),SDGRC_ECA_COMESA,98113,Burundi,BDI,108
AUREC,Common Market for Eastern and Southern Africa (COMESA),SDGRC_ECA_COMESA,98113,Comoros,COM,174
AUREC,Common Market for Eastern and Southern Africa (COMESA),SDGRC_ECA_COMESA,98113,Democratic Republic of the Congo,COD,180
AUREC,Common Market for Eastern and Southern Africa (COMESA),SDGRC_ECA_COMESA,98113,Djibouti,DJI,262
