Region_Code,Region
AU_AFRICA,Africa (African Union)
AU_CENTRAL_AFRICA,Central Africa (African Union)
AU_EASTERN_AFRICA,Eastern Africa (African Union)
AU_NORTHERN_AFRICA,Northern Africa (African Union)
AU_SOUTHERN_AFRICA,Southern Africa (African Union)
AU_WESTERN_AFRICA,Western Africa (African Union)
AUREC_AMU,Arab Maghreb Union (AMU)
AUREC_COMESA,Common Market for Eastern and Southern Africa (COMESA)
AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD)
AUREC_EAC,East African Community (EAC)
AUREC_ECCAS,Economic Community of Central African States (ECCAS)
AUREC_ECOWAS,Economic Community of West African States (ECOWAS)
AUREC_IGAD,Intergovernmental Authority on Development (IGAD)
AUREC_SADC,Southern African Development Community (SADC)
AUREC_ECOWAS_202502,Economic Community of West African States (ECOWAS) 202502
