Regional_Grouping,Region,Region_Code,Country,ISO3Code
UNICEF_HUMAN_REG_GLOBAL,Humanitarian Countries for IMPACT and OUTCOME reporting,UNICEF_HUMAN,Afghanistan,AFG
UNICEF_HUMAN_REG_GLOBAL,Humanitarian Countries for IMPACT and OUTCOME reporting,UNICEF_HUMAN,Burkina Faso,BFA
UNICEF_HUMAN_REG_GLOBAL,Humanitarian Countries for IMPACT and OUTCOME reporting,UNICEF_HUMAN,Central African Republic,CAF
UNICEF_HUMAN_REG_GLOBAL,Humanitarian Countries for IMPACT and OUTCOME reporting,UNICEF_HUMAN,Democratic Republic of the Congo,COD
UNICEF_HUMAN_REG_GLOBAL,Humanitarian Countries for IMPACT and OUTCOME reporting,UNICEF_HUMAN,Eritrea,ERI
UNICEF_HUMAN_REG_GLOBAL,Humanitarian Countries for IMPACT and OUTCOME reporting,UNICEF_HUMAN,Ethiopia,ETH
UNICEF_HUMAN_REG_GLOBAL,Humanitarian Countries for IMPACT and OUTCOME reporting,UNICEF_HUMAN,Haiti,HTI
UNICEF_HUMAN_REG_GLOBAL,Humanitarian Countries for IMPACT and OUTCOME reporting,UNICEF_HUMAN,Iraq,IRQ
UNICEF_HUMAN_REG_GLOBAL,Humanitarian Countries for IMPACT and OUTCOME reporting,UNICEF_HUMAN,Lebanon,LBN
UNICEF_HUMAN_REG_GLOBAL,Humanitarian Countries for IMPACT and OUTCOME reporting,UNICEF_HUMAN,Libya,LBY
UNICEF_HUMAN_REG_GLOBAL,Humanitarian Countries for IMPACT and OUTCOME reporting,UNICEF_HUMAN,Madagascar,MDG
UNICEF_HUMAN_REG_GLOBAL,Humanitarian Countries for IMPACT and OUTCOME reporting,UNICEF_HUMAN,Mali,MLI
UNICEF_HUMAN_REG_GLOBAL,Humanitarian Countries for IMPACT and OUTCOME reporting,UNICEF_HUMAN,Nigeria,NGA
UNICEF_HUMAN_REG_GLOBAL,Humanitarian Countries for IMPACT and OUTCOME reporting,UNICEF_HUMAN,Somalia,SOM
UNICEF_HUMAN_REG_GLOBAL,Humanitarian Countries for IMPACT and OUTCOME reporting,UNICEF_HUMAN,South Sudan,SSD
UNICEF_HUMAN_REG_GLOBAL,Humanitarian Countries for IMPACT and OUTCOME reporting,UNICEF_HUMAN,State of Palestine,PSE
UNICEF_HUMAN_REG_GLOBAL,Humanitarian Countries for IMPACT and OUTCOME reporting,UNICEF_HUMAN,Sudan,SDN
UNICEF_HUMAN_REG_GLOBAL,Humanitarian Countries for IMPACT and OUTCOME reporting,UNICEF_HUMAN,Syrian Arab Republic,SYR
UNICEF_HUMAN_REG_GLOBAL,Humanitarian Countries for IMPACT and OUTCOME reporting,UNICEF_HUMAN,Ukraine,UKR
UNICEF_HUMAN_REG_GLOBAL,Humanitarian Countries for IMPACT and OUTCOME reporting,UNICEF_HUMAN,Venezuela (Bolivarian Republic of),VEN
UNICEF_HUMAN_REG_GLOBAL,Humanitarian Countries for IMPACT and OUTCOME reporting,UNICEF_HUMAN,Yemen,YEM
