Regional_Grouping,Region,Region_Code,Area,Area_Code_M49,isoAlpha3,Type
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Latin America,420,,Region
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Bay of Bengal,99084,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Red Sea,99083,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Arabian Sea,99082,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Somali Coastal Current,99081,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Agulhas Current,99080,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Benguela Current,99079,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Guinea Current,99078,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Canary Current,99077,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Mediterranean Sea,99076,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Iberian Coastal,99075,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Celtic-Biscay Shelf,99074,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Baltic Sea,99073,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Gulf of Thailand,99085,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: North Sea,99072,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Barents Sea,99070,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Greenland Sea,99069,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Canadian Eastern Arctic - West Greenland,99068,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: North Brazil Shelf,99067,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: East Brazil Shelf,99066,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: South Brazil Shelf,99065,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Patagonian Shelf,99064,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Humboldt Current,99063,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Caribbean Sea,99062,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Pacific Central-American Coastal,99061,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Insular Pacific-Hawaiian,99060,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Labrador - Newfoundland,99059,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Norwegian Sea,99071,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Scotian Shelf,99058,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: South China Sea,99086,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Indonesian Sea,99088,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Central Arctic,99114,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Hudson Bay Complex,99113,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Black Sea,99112,,Large Marine Ecosystems
Custom_groupings_of_data_providers,Custom groupings of data providers,922,Large Marine Ecosystem: Antarctica,99111,,Large Marine Ecosystems
