Regional_Grouping,Region,Region_Code,Area,Area_Code_M49,isoAlpha3,Type
Least_Developed_Countries_(LDC),Least Developed Countries (LDC),199,LDC Africa,927,,Region
Least_Developed_Countries_(LDC),Least Developed Countries (LDC),199,LDC Americas,928,,Region
Least_Developed_Countries_(LDC),Least Developed Countries (LDC),199,LDC Asia,929,,Region
Least_Developed_Countries_(LDC),Least Developed Countries (LDC),199,LDC Oceania,930,,Region
Least_Developed_Countries_(LDC),LDC Africa,927,Senegal,686,SEN,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Sierra Leone,694,SLE,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Somalia,706,SOM,Country
Least_Developed_Countries_(LDC),LDC Africa,927,South Sudan,728,SSD,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Sudan,729,SDN,Country
Least_Developed_Countries_(LDC),LDC Africa,927,United Republic of Tanzania,834,TZA,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Togo,768,TGO,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Uganda,800,UGA,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Zambia,894,ZMB,Country
Least_Developed_Countries_(LDC),LDC Asia,929,Afghanistan,4,AFG,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Rwanda,646,RWA,Country
Least_Developed_Countries_(LDC),LDC Asia,929,Bangladesh,50,BGD,Country
Least_Developed_Countries_(LDC),LDC Asia,929,Cambodia,116,KHM,Country
Least_Developed_Countries_(LDC),LDC Asia,929,Lao People's Democratic Republic,418,LAO,Country
Least_Developed_Countries_(LDC),LDC Asia,929,Myanmar,104,MMR,Country
Least_Developed_Countries_(LDC),LDC Asia,929,Nepal,524,NPL,Country
Least_Developed_Countries_(LDC),LDC Asia,929,Timor-Leste,626,TLS,Country
Least_Developed_Countries_(LDC),LDC Asia,929,Yemen,887,YEM,Country
Least_Developed_Countries_(LDC),LDC Oceania,930,Kiribati,296,KIR,Country
Least_Developed_Countries_(LDC),LDC Americas,928,Haiti,332,HTI,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Niger,562,NER,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Mauritania,478,MRT,Country
Least_Developed_Countries_(LDC),LDC Oceania,930,Solomon Islands,90,SLB,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Angola,24,AGO,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Benin,204,BEN,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Burkina Faso,854,BFA,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Burundi,108,BDI,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Central African Republic,140,CAF,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Chad,148,TCD,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Comoros,174,COM,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Democratic Republic of the Congo,180,COD,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Djibouti,262,DJI,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Eritrea,232,ERI,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Ethiopia,231,ETH,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Gambia,270,GMB,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Guinea,324,GIN,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Guinea-Bissau,624,GNB,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Lesotho,426,LSO,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Liberia,430,LBR,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Madagascar,450,MDG,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Malawi,454,MWI,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Mali,466,MLI,Country
Least_Developed_Countries_(LDC),LDC Africa,927,Mozambique,508,MOZ,Country
Least_Developed_Countries_(LDC),LDC Oceania,930,Tuvalu,798,TUV,Country
