Regional_Grouping,Region,Region_Code,Area,Area_Code_M49,isoAlpha3,Type
Small_Island_Developing_States_(SIDS),Small Island Developing States (SIDS),722,SIDS Africa,931,,Region
Small_Island_Developing_States_(SIDS),Small Island Developing States (SIDS),722,SIDS Americas,932,,Region
Small_Island_Developing_States_(SIDS),Small Island Developing States (SIDS),722,SIDS Asia,933,,Region
Small_Island_Developing_States_(SIDS),Small Island Developing States (SIDS),722,SIDS Oceania,934,,Region
Small_Island_Developing_States_(SIDS),SIDS Americas,932,Saint Vincent and the Grenadines,670,VCT,Country
Small_Island_Developing_States_(SIDS),SIDS Americas,932,Sint Maarten (Dutch part),534,SXM,Country
Small_Island_Developing_States_(SIDS),SIDS Americas,932,United States Virgin Islands,850,VIR,Country
Small_Island_Developing_States_(SIDS),SIDS Asia,933,Maldives,462,MDV,Country
Small_Island_Developing_States_(SIDS),SIDS Asia,933,Singapore,702,SGP,Country
Small_Island_Developing_States_(SIDS),SIDS Asia,933,Timor-Leste,626,TLS,Country
Small_Island_Developing_States_(SIDS),SIDS Oceania,934,American Samoa,16,ASM,Country
Small_Island_Developing_States_(SIDS),SIDS Oceania,934,Cook Islands,184,COK,Country
Small_Island_Developing_States_(SIDS),SIDS Oceania,934,Fiji,242,FJI,Country
Small_Island_Developing_States_(SIDS),SIDS Oceania,934,French Polynesia,258,PYF,Country
Small_Island_Developing_States_(SIDS),SIDS Oceania,934,Guam,316,GUM,Country
Small_Island_Developing_States_(SIDS),SIDS Oceania,934,Marshall Islands,584,MHL,Country
Small_Island_Developing_States_(SIDS),SIDS Americas,932,Curaçao,531,CUW,Country
Small_Island_Developing_States_(SIDS),SIDS Oceania,934,Micronesia (Federated States of),583,FSM,Country
Small_Island_Developing_States_(SIDS),SIDS Oceania,934,Nauru,520,NRU,Country
Small_Island_Developing_States_(SIDS),SIDS Oceania,934,New Caledonia,540,NCL,Country
Small_Island_Developing_States_(SIDS),SIDS Oceania,934,Niue,570,NIU,Country
Small_Island_Developing_States_(SIDS),SIDS Oceania,934,Northern Mariana Islands,580,MNP,Country
Small_Island_Developing_States_(SIDS),SIDS Oceania,934,Palau,585,PLW,Country
Small_Island_Developing_States_(SIDS),SIDS Oceania,934,Papua New Guinea,598,PNG,Country
Small_Island_Developing_States_(SIDS),SIDS Oceania,934,Samoa,882,WSM,Country
Small_Island_Developing_States_(SIDS),SIDS Oceania,934,Solomon Islands,90,SLB,Country
Small_Island_Developing_States_(SIDS),SIDS Oceania,934,Tonga,776,TON,Country
Small_Island_Developing_States_(SIDS),SIDS Oceania,934,Kiribati,296,KIR,Country
Small_Island_Developing_States_(SIDS),SIDS Americas,932,"Bonaire, Sint Eustatius and Saba",535,BES,Country
Small_Island_Developing_States_(SIDS),SIDS Americas,932,Suriname,740,SUR,Country
Small_Island_Developing_States_(SIDS),SIDS Oceania,934,Tuvalu,798,TUV,Country
Small_Island_Developing_States_(SIDS),SIDS Africa,931,Cabo Verde,132,CPV,Country
Small_Island_Developing_States_(SIDS),SIDS Africa,931,Comoros,174,COM,Country
Small_Island_Developing_States_(SIDS),SIDS Africa,931,Guinea-Bissau,624,GNB,Country
Small_Island_Developing_States_(SIDS),SIDS Africa,931,Mauritius,480,MUS,Country
Small_Island_Developing_States_(SIDS),SIDS Africa,931,Sao Tome and Principe,678,STP,Country
Small_Island_Developing_States_(SIDS),SIDS Africa,931,Seychelles,690,SYC,Country
Small_Island_Developing_States_(SIDS),SIDS Americas,932,Anguilla,660,AIA,Country
Small_Island_Developing_States_(SIDS),SIDS Americas,932,Antigua and Barbuda,28,ATG,Country
Small_Island_Developing_States_(SIDS),SIDS Americas,932,Aruba,533,ABW,Country
Small_Island_Developing_States_(SIDS),SIDS Americas,932,Bahamas,44,BHS,Country
Small_Island_Developing_States_(SIDS),SIDS Americas,932,Barbados,52,BRB,Country
Small_Island_Developing_States_(SIDS),SIDS Americas,932,Trinidad and Tobago,780,TTO,Country
Small_Island_Developing_States_(SIDS),SIDS Americas,932,Belize,84,BLZ,Country
Small_Island_Developing_States_(SIDS),SIDS Americas,932,Cuba,192,CUB,Country
Small_Island_Developing_States_(SIDS),SIDS Americas,932,Dominica,212,DMA,Country
Small_Island_Developing_States_(SIDS),SIDS Americas,932,Dominican Republic,214,DOM,Country
Small_Island_Developing_States_(SIDS),SIDS Americas,932,Grenada,308,GRD,Country
Small_Island_Developing_States_(SIDS),SIDS Americas,932,Guyana,328,GUY,Country
Small_Island_Developing_States_(SIDS),SIDS Americas,932,Haiti,332,HTI,Country
Small_Island_Developing_States_(SIDS),SIDS Americas,932,Jamaica,388,JAM,Country
Small_Island_Developing_States_(SIDS),SIDS Americas,932,Montserrat,500,MSR,Country
Small_Island_Developing_States_(SIDS),SIDS Americas,932,Puerto Rico,630,PRI,Country
Small_Island_Developing_States_(SIDS),SIDS Americas,932,Saint Kitts and Nevis,659,KNA,Country
Small_Island_Developing_States_(SIDS),SIDS Americas,932,Saint Lucia,662,LCA,Country
Small_Island_Developing_States_(SIDS),SIDS Americas,932,British Virgin Islands,92,VGB,Country
Small_Island_Developing_States_(SIDS),SIDS Oceania,934,Vanuatu,548,VUT,Country
