Regional_Grouping,Region,Region_Code,Area,Area_Code_M49,Type
World_(total)_by_MDG_regions,World (total) by MDG regions,1,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Region
World_(total)_by_MDG_regions,World (total) by MDG regions,1,Developing regions,515,Region
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Serbia,688,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,San Marino,674,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Saint Pierre and Miquelon,666,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Russian Federation,643,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Romania,642,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Portugal,620,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Poland,616,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Norway,578,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Norfolk Island,574,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,New Zealand,554,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Netherlands (Kingdom of the),528,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Montenegro,499,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Monaco,492,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Republic of Moldova,498,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Malta,470,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,North Macedonia,807,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Slovakia,703,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Slovenia,705,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Spain,724,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Svalbard and Jan Mayen Islands,744,Country
World_(total)_by_MDG_regions,Developing regions,515,Oceania (exc. Australia and New Zealand),543,Region
World_(total)_by_MDG_regions,Developing regions,515,Latin America and the Caribbean,419,Region
World_(total)_by_MDG_regions,Developing regions,515,South-Eastern Asia,35,Region
World_(total)_by_MDG_regions,Developing regions,515,Southern Asia,34,Region
World_(total)_by_MDG_regions,Developing regions,515,Sub-Saharan Africa (inc. Sudan),738,Region
World_(total)_by_MDG_regions,Developing regions,515,Eastern Asia (excluding Japan),518,Region
World_(total)_by_MDG_regions,Developing regions,515,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",485,Region
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Luxembourg,442,Country
World_(total)_by_MDG_regions,Developing regions,515,Caucasus and Central Asia,135,Region
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Sark,680,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Channel Islands,830,Region
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,United States of America,840,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,United Kingdom of Great Britain and Northern Ireland,826,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Ukraine,804,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Switzerland,756,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Sweden,752,Country
World_(total)_by_MDG_regions,Developing regions,515,Southern Asia (excluding India),127,Region
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Lithuania,440,Country
World_(total)_by_MDG_regions,Developing regions,515,Northern Africa (exc. Sudan),746,Region
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Latvia,428,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Czechia,203,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Cyprus,196,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Croatia,191,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Cocos (Keeling) Islands,166,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Christmas Island,162,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Canada,124,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Bulgaria,100,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Denmark,208,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Bosnia and Herzegovina,70,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Belgium,56,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Belarus,112,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Austria,40,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Australia,36,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Albania,8,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Åland Islands,248,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Liechtenstein,438,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Bermuda,60,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Estonia,233,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Andorra,20,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Finland,246,Country
World_(total)_by_MDG_regions,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",514,Faroe Islands,234,Country
