Regional_Grouping,Region,Region_Code,Country,ISO3Code
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,American Samoa,ASM
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,Australia,AUS
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,Brunei Darussalam,BRN
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,Cambodia,KHM
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,China,CHN
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,"China, Hong Kong Special Administrative Region",HKG
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,"China, Macao Special Administrative Region",MAC
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,"China, Taiwan Province of China",TWN
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,Democratic People's Republic of Korea,PRK
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,Fiji,FJI
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,French Polynesia,PYF
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,Guam,GUM
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,Indonesia,IDN
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,Japan,JPN
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,Kiribati,KIR
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,Lao People's Democratic Republic,LAO
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,Malaysia,MYS
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,Marshall Islands,MHL
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,Micronesia (Federated States of),FSM
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,Mongolia,MNG
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,Myanmar,MMR
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,Nauru,NRU
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,New Caledonia,NCL
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,New Zealand,NZL
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,Northern Mariana Islands,MNP
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,Palau,PLW
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,Papua New Guinea,PNG
WB_REG_GLOBAL,East Asia and Pacific,WB_EAP,Philippines,PHL
