Regional_Grouping,Region,Region_Code,Country,ISO3Code,M49_Code
WHO_REG_GLOBAL,Africa,WHO_AFRO,Algeria,DZA,12
WHO_REG_GLOBAL,Africa,WHO_AFRO,Angola,AGO,24
WHO_REG_GLOBAL,Africa,WHO_AFRO,Benin,BEN,204
WHO_REG_GLOBAL,Africa,WHO_AFRO,Botswana,BWA,72
WHO_REG_GLOBAL,Africa,WHO_AFRO,Burkina Faso,BFA,854
WHO_REG_GLOBAL,Africa,WHO_AFRO,Burundi,BDI,108
WHO_REG_GLOBAL,Africa,WHO_AFRO,Cabo Verde,CPV,132
WHO_REG_GLOBAL,Africa,WHO_AFRO,Cameroon,CMR,120
WHO_REG_GLOBAL,Africa,WHO_AFRO,Central African Republic,CAF,140
WHO_REG_GLOBAL,Africa,WHO_AFRO,Chad,TCD,148
WHO_REG_GLOBAL,Africa,WHO_AFRO,Comoros,COM,174
WHO_REG_GLOBAL,Africa,WHO_AFRO,Congo,COG,178
WHO_REG_GLOBAL,Africa,WHO_AFRO,Côte d'Ivoire,CIV,384
WHO_REG_GLOBAL,Africa,WHO_AFRO,Democratic Republic of the Congo,COD,180
WHO_REG_GLOBAL,Africa,WHO_AFRO,Equatorial Guinea,GNQ,226
WHO_REG_GLOBAL,Africa,WHO_AFRO,Eritrea,ERI,232
WHO_REG_GLOBAL,Africa,WHO_AFRO,Eswatini,SWZ,748
WHO_REG_GLOBAL,Africa,WHO_AFRO,Ethiopia,ETH,231
WHO_REG_GLOBAL,Africa,WHO_AFRO,Gabon,GAB,266
WHO_REG_GLOBAL,Africa,WHO_AFRO,Gambia,GMB,270
WHO_REG_GLOBAL,Africa,WHO_AFRO,Ghana,GHA,288
WHO_REG_GLOBAL,Africa,WHO_AFRO,Guinea,GIN,324
WHO_REG_GLOBAL,Africa,WHO_AFRO,Guinea-Bissau,GNB,624
WHO_REG_GLOBAL,Africa,WHO_AFRO,Kenya,KEN,404
WHO_REG_GLOBAL,Africa,WHO_AFRO,Lesotho,LSO,426
WHO_REG_GLOBAL,Africa,WHO_AFRO,Liberia,LBR,430
WHO_REG_GLOBAL,Africa,WHO_AFRO,Madagascar,MDG,450
WHO_REG_GLOBAL,Africa,WHO_AFRO,Malawi,MWI,454
WHO_REG_GLOBAL,Africa,WHO_AFRO,Mali,MLI,466
WHO_REG_GLOBAL,Africa,WHO_AFRO,Mauritania,MRT,478
WHO_REG_GLOBAL,Africa,WHO_AFRO,Mauritius,MUS,480
WHO_REG_GLOBAL,Africa,WHO_AFRO,Mozambique,MOZ,508
WHO_REG_GLOBAL,Africa,WHO_AFRO,Namibia,NAM,516
WHO_REG_GLOBAL,Africa,WHO_AFRO,Niger,NER,562
WHO_REG_GLOBAL,Africa,WHO_AFRO,Nigeria,NGA,566
WHO_REG_GLOBAL,Africa,WHO_AFRO,Rwanda,RWA,646
WHO_REG_GLOBAL,Africa,WHO_AFRO,Sao Tome and Principe,STP,678
WHO_REG_GLOBAL,Africa,WHO_AFRO,Senegal,SEN,686
WHO_REG_GLOBAL,Africa,WHO_AFRO,Seychelles,SYC,690
WHO_REG_GLOBAL,Africa,WHO_AFRO,Sierra Leone,SLE,694
WHO_REG_GLOBAL,Africa,WHO_AFRO,South Africa,ZAF,710
WHO_REG_GLOBAL,Africa,WHO_AFRO,South Sudan,SSD,728
WHO_REG_GLOBAL,Africa,WHO_AFRO,Togo,TGO,768
WHO_REG_GLOBAL,Africa,WHO_AFRO,Uganda,UGA,800
WHO_REG_GLOBAL,Africa,WHO_AFRO,United Republic of Tanzania,TZA,834
