Regional_Grouping,Region,Region_Code,Country,ISO3Code,M49_Code
WPP_GLOBAL,World,,,ESH,
WPP_GLOBAL,World,,,GGY,
WPP_GLOBAL,World,,,JEY,
WPP_GLOBAL,World,,Afghanistan,AFG,4
WPP_GLOBAL,World,,Albania,ALB,8
WPP_GLOBAL,World,,Algeria,DZA,12
WPP_GLOBAL,World,,American Samoa,ASM,16
WPP_GLOBAL,World,,Andorra,AND,20
WPP_GLOBAL,World,,Angola,AGO,24
WPP_GLOBAL,World,,Anguilla,AIA,660
WPP_GLOBAL,World,,Antigua and Barbuda,ATG,28
WPP_GLOBAL,World,,Argentina,ARG,32
WPP_GLOBAL,World,,Armenia,ARM,51
WPP_GLOBAL,World,,Aruba,ABW,533
WPP_GLOBAL,World,,Australia,AUS,36
WPP_GLOBAL,World,,Austria,AUT,40
WPP_GLOBAL,World,,Azerbaijan,AZE,31
WPP_GLOBAL,World,,Bahamas,BHS,44
WPP_GLOBAL,World,,Bahrain,BHR,48
WPP_GLOBAL,World,,Bangladesh,BGD,50
WPP_GLOBAL,World,,Barbados,BRB,52
WPP_GLOBAL,World,,Belarus,BLR,112
WPP_GLOBAL,World,,Belgium,BEL,56
WPP_GLOBAL,World,,Belize,BLZ,84
WPP_GLOBAL,World,,Benin,BEN,204
WPP_GLOBAL,World,,Bermuda,BMU,60
WPP_GLOBAL,World,,Bhutan,BTN,64
WPP_GLOBAL,World,,Bolivia (Plurinational State of),BOL,68
WPP_GLOBAL,World,,"Bonaire, Sint Eustatius and Saba",BES,535
WPP_GLOBAL,World,,Bosnia and Herzegovina,BIH,70
WPP_GLOBAL,World,,Botswana,BWA,72
WPP_GLOBAL,World,,Brazil,BRA,76
WPP_GLOBAL,World,,British Virgin Islands,VGB,92
WPP_GLOBAL,World,,Brunei Darussalam,BRN,96
WPP_GLOBAL,World,,Bulgaria,BGR,100
WPP_GLOBAL,World,,Burkina Faso,BFA,854
WPP_GLOBAL,World,,Burundi,BDI,108
WPP_GLOBAL,World,,Cabo Verde,CPV,132
WPP_GLOBAL,World,,Cambodia,KHM,116
WPP_GLOBAL,World,,Cameroon,CMR,120
WPP_GLOBAL,World,,Canada,CAN,124
WPP_GLOBAL,World,,Cayman Islands,CYM,136
WPP_GLOBAL,World,,Central African Republic,CAF,140
WPP_GLOBAL,World,,Chad,TCD,148
WPP_GLOBAL,World,,Chile,CHL,152
WPP_GLOBAL,World,,China,CHN,156
WPP_GLOBAL,World,,"China, Hong Kong Special Administrative Region",HKG,344
WPP_GLOBAL,World,,"China, Macao Special Administrative Region",MAC,446
WPP_GLOBAL,World,,"China, Taiwan Province of China",TWN,
WPP_GLOBAL,World,,Colombia,COL,170
WPP_GLOBAL,World,,Comoros,COM,174
WPP_GLOBAL,World,,Congo,COG,178
WPP_GLOBAL,World,,Cook Islands,COK,184
WPP_GLOBAL,World,,Costa Rica,CRI,188
WPP_GLOBAL,World,,Croatia,HRV,191
WPP_GLOBAL,World,,Cuba,CUB,192
WPP_GLOBAL,World,,Curaçao,CUW,531
WPP_GLOBAL,World,,Cyprus,CYP,196
WPP_GLOBAL,World,,Czechia,CZE,203
WPP_GLOBAL,World,,Côte d'Ivoire,CIV,384
WPP_GLOBAL,World,,Democratic People's Republic of Korea,PRK,408
WPP_GLOBAL,World,,Democratic Republic of the Congo,COD,180
WPP_GLOBAL,World,,Denmark,DNK,208
WPP_GLOBAL,World,,Djibouti,DJI,262
WPP_GLOBAL,World,,Dominica,DMA,212
WPP_GLOBAL,World,,Dominican Republic,DOM,214
WPP_GLOBAL,World,,Ecuador,ECU,218
WPP_GLOBAL,World,,Egypt,EGY,818
WPP_GLOBAL,World,,El Salvador,SLV,222
WPP_GLOBAL,World,,Equatorial Guinea,GNQ,226
WPP_GLOBAL,World,,Eritrea,ERI,232
WPP_GLOBAL,World,,Estonia,EST,233
WPP_GLOBAL,World,,Eswatini,SWZ,748
WPP_GLOBAL,World,,Ethiopia,ETH,231
WPP_GLOBAL,World,,Falkland Islands (Malvinas),FLK,238
WPP_GLOBAL,World,,Faroe Islands,FRO,234
WPP_GLOBAL,World,,Fiji,FJI,242
WPP_GLOBAL,World,,Finland,FIN,246
WPP_GLOBAL,World,,France,FRA,250
WPP_GLOBAL,World,,French Guiana,GUF,254
WPP_GLOBAL,World,,French Polynesia,PYF,258
WPP_GLOBAL,World,,Gabon,GAB,266
WPP_GLOBAL,World,,Gambia,GMB,270
WPP_GLOBAL,World,,Georgia,GEO,268
WPP_GLOBAL,World,,Germany,DEU,276
WPP_GLOBAL,World,,Ghana,GHA,288
WPP_GLOBAL,World,,Gibraltar,GIB,292
WPP_GLOBAL,World,,Greece,GRC,300
WPP_GLOBAL,World,,Greenland,GRL,304
WPP_GLOBAL,World,,Grenada,GRD,308
WPP_GLOBAL,World,,Guadeloupe,GLP,312
WPP_GLOBAL,World,,Guam,GUM,316
WPP_GLOBAL,World,,Guatemala,GTM,320
WPP_GLOBAL,World,,Guinea,GIN,324
WPP_GLOBAL,World,,Guinea-Bissau,GNB,624
WPP_GLOBAL,World,,Guyana,GUY,328
WPP_GLOBAL,World,,Haiti,HTI,332
WPP_GLOBAL,World,,Holy See,VAT,336
WPP_GLOBAL,World,,Honduras,HND,340
WPP_GLOBAL,World,,Hungary,HUN,348
WPP_GLOBAL,World,,Iceland,ISL,352
WPP_GLOBAL,World,,India,IND,356
WPP_GLOBAL,World,,Indonesia,IDN,360
WPP_GLOBAL,World,,Iran (Islamic Republic of),IRN,364
WPP_GLOBAL,World,,Iraq,IRQ,368
WPP_GLOBAL,World,,Ireland,IRL,372
WPP_GLOBAL,World,,Isle of Man,IMN,833
WPP_GLOBAL,World,,Israel,ISR,376
WPP_GLOBAL,World,,Italy,ITA,380
WPP_GLOBAL,World,,Jamaica,JAM,388
WPP_GLOBAL,World,,Japan,JPN,392
WPP_GLOBAL,World,,Jordan,JOR,400
WPP_GLOBAL,World,,Kazakhstan,KAZ,398
WPP_GLOBAL,World,,Kenya,KEN,404
WPP_GLOBAL,World,,Kiribati,KIR,296
WPP_GLOBAL,World,,Kosovo (UNSCR 1244),XKX,
WPP_GLOBAL,World,,Kuwait,KWT,414
WPP_GLOBAL,World,,Kyrgyzstan,KGZ,417
WPP_GLOBAL,World,,Lao People's Democratic Republic,LAO,418
WPP_GLOBAL,World,,Latvia,LVA,428
WPP_GLOBAL,World,,Lebanon,LBN,422
WPP_GLOBAL,World,,Lesotho,LSO,426
WPP_GLOBAL,World,,Liberia,LBR,430
WPP_GLOBAL,World,,Libya,LBY,434
WPP_GLOBAL,World,,Liechtenstein,LIE,438
WPP_GLOBAL,World,,Lithuania,LTU,440
WPP_GLOBAL,World,,Luxembourg,LUX,442
WPP_GLOBAL,World,,Madagascar,MDG,450
WPP_GLOBAL,World,,Malawi,MWI,454
WPP_GLOBAL,World,,Malaysia,MYS,458
WPP_GLOBAL,World,,Maldives,MDV,462
WPP_GLOBAL,World,,Mali,MLI,466
WPP_GLOBAL,World,,Malta,MLT,470
WPP_GLOBAL,World,,Marshall Islands,MHL,584
WPP_GLOBAL,World,,Martinique,MTQ,474
WPP_GLOBAL,World,,Mauritania,MRT,478
WPP_GLOBAL,World,,Mauritius,MUS,480
WPP_GLOBAL,World,,Mayotte,MYT,175
WPP_GLOBAL,World,,Mexico,MEX,484
WPP_GLOBAL,World,,Micronesia (Federated States of),FSM,583
WPP_GLOBAL,World,,Monaco,MCO,492
WPP_GLOBAL,World,,Mongolia,MNG,496
WPP_GLOBAL,World,,Montenegro,MNE,499
WPP_GLOBAL,World,,Montserrat,MSR,500
WPP_GLOBAL,World,,Morocco,MAR,504
WPP_GLOBAL,World,,Mozambique,MOZ,508
WPP_GLOBAL,World,,Myanmar,MMR,104
WPP_GLOBAL,World,,Namibia,NAM,516
WPP_GLOBAL,World,,Nauru,NRU,520
WPP_GLOBAL,World,,Nepal,NPL,524
WPP_GLOBAL,World,,Netherlands (Kingdom of the),NLD,528
WPP_GLOBAL,World,,New Caledonia,NCL,540
WPP_GLOBAL,World,,New Zealand,NZL,554
WPP_GLOBAL,World,,Nicaragua,NIC,558
WPP_GLOBAL,World,,Niger,NER,562
WPP_GLOBAL,World,,Nigeria,NGA,566
