Regional_Grouping,Region_Code,Region,Country,ISO3Code,M49Region_Code,M49_Code,FAO_CODE
AU,AU_AFRICA,Africa (African Union),Algeria,DZA,,,
AU,AU_AFRICA,Africa (African Union),Angola,AGO,,,
AU,AU_AFRICA,Africa (African Union),Benin,BEN,,,
AU,AU_AFRICA,Africa (African Union),Botswana,BWA,,,
AU,AU_AFRICA,Africa (African Union),Burkina Faso,BFA,,,
AU,AU_AFRICA,Africa (African Union),Burundi,BDI,,,
AU,AU_AFRICA,Africa (African Union),Cabo Verde,CPV,,,
AU,AU_AFRICA,Africa (African Union),Cameroon,CMR,,,
AU,AU_AFRICA,Africa (African Union),Central African Republic,CAF,,,
AU,AU_AFRICA,Africa (African Union),Chad,TCD,,,
AU,AU_AFRICA,Africa (African Union),Comoros,COM,,,
AU,AU_AFRICA,Africa (African Union),Congo,COG,,,
AU,AU_AFRICA,Africa (African Union),Côte d'Ivoire,CIV,,,
AU,AU_AFRICA,Africa (African Union),Democratic Republic of the Congo,COD,,,
AU,AU_AFRICA,Africa (African Union),Djibouti,DJI,,,
AU,AU_AFRICA,Africa (African Union),Egypt,EGY,,,
AU,AU_AFRICA,Africa (African Union),Equatorial Guinea,GNQ,,,
AU,AU_AFRICA,Africa (African Union),Eritrea,ERI,,,
AU,AU_AFRICA,Africa (African Union),Eswatini,SWZ,,,
AU,AU_AFRICA,Africa (African Union),Ethiopia,ETH,,,
AU,AU_AFRICA,Africa (African Union),Gabon,GAB,,,
AU,AU_AFRICA,Africa (African Union),Gambia,GMB,,,
AU,AU_AFRICA,Africa (African Union),Ghana,GHA,,,
AU,AU_AFRICA,Africa (African Union),Guinea,GIN,,,
AU,AU_AFRICA,Africa (African Union),Guinea-Bissau,GNB,,,
AU,AU_AFRICA,Africa (African Union),Kenya,KEN,,,
AU,AU_AFRICA,Africa (African Union),Lesotho,LSO,,,
AU,AU_AFRICA,Africa (African Union),Liberia,LBR,,,
AU,AU_AFRICA,Africa (African Union),Libya,LBY,,,
AU,AU_AFRICA,Africa (African Union),Madagascar,MDG,,,
AU,AU_AFRICA,Africa (African Union),Malawi,MWI,,,
AU,AU_AFRICA,Africa (African Union),Mali,MLI,,,
AU,AU_AFRICA,Africa (African Union),Mauritania,MRT,,,
AU,AU_AFRICA,Africa (African Union),Mauritius,MUS,,,
AU,AU_AFRICA,Africa (African Union),Morocco,MAR,,,
AU,AU_AFRICA,Africa (African Union),Mozambique,MOZ,,,
AU,AU_AFRICA,Africa (African Union),Namibia,NAM,,,
AU,AU_AFRICA,Africa (African Union),Niger,NER,,,
AU,AU_AFRICA,Africa (African Union),Nigeria,NGA,,,
AU,AU_AFRICA,Africa (African Union),Rwanda,RWA,,,
AU,AU_AFRICA,Africa (African Union),Sao Tome and Principe,STP,,,
AU,AU_AFRICA,Africa (African Union),Senegal,SEN,,,
AU,AU_AFRICA,Africa (African Union),Seychelles,SYC,,,
AU,AU_AFRICA,Africa (African Union),Sierra Leone,SLE,,,
AU,AU_AFRICA,Africa (African Union),Somalia,SOM,,,
AU,AU_AFRICA,Africa (African Union),South Africa,ZAF,,,
AU,AU_AFRICA,Africa (African Union),South Sudan,SSD,,,
AU,AU_AFRICA,Africa (African Union),Sudan,SDN,,,
AU,AU_AFRICA,Africa (African Union),Togo,TGO,,,
AU,AU_AFRICA,Africa (African Union),Tunisia,TUN,,,
AU,AU_AFRICA,Africa (African Union),Uganda,UGA,,,
AU,AU_AFRICA,Africa (African Union),United Republic of Tanzania,TZA,,,
AU,AU_AFRICA,Africa (African Union),Western Sahara,ESH,,,
AU,AU_AFRICA,Africa (African Union),Zambia,ZMB,,,
AU,AU_AFRICA,Africa (African Union),Zimbabwe,ZWE,,,
AU,AU_CENTRAL_AFRICA,Central Africa (African Union),Burundi,BDI,,,
AU,AU_CENTRAL_AFRICA,Central Africa (African Union),Cameroon,CMR,,,
AU,AU_CENTRAL_AFRICA,Central Africa (African Union),Central African Republic,CAF,,,
AU,AU_CENTRAL_AFRICA,Central Africa (African Union),Chad,TCD,,,
AU,AU_CENTRAL_AFRICA,Central Africa (African Union),Congo,COG,,,
AU,AU_CENTRAL_AFRICA,Central Africa (African Union),Democratic Republic of the Congo,COD,,,
AU,AU_CENTRAL_AFRICA,Central Africa (African Union),Equatorial Guinea,GNQ,,,
AU,AU_CENTRAL_AFRICA,Central Africa (African Union),Gabon,GAB,,,
AU,AU_CENTRAL_AFRICA,Central Africa (African Union),Sao Tome and Principe,STP,,,
AU,AU_EASTERN_AFRICA,Eastern Africa (African Union),Comoros,COM,,,
AU,AU_EASTERN_AFRICA,Eastern Africa (African Union),Djibouti,DJI,,,
AU,AU_EASTERN_AFRICA,Eastern Africa (African Union),Eritrea,ERI,,,
AU,AU_EASTERN_AFRICA,Eastern Africa (African Union),Ethiopia,ETH,,,
AU,AU_EASTERN_AFRICA,Eastern Africa (African Union),Kenya,KEN,,,
AU,AU_EASTERN_AFRICA,Eastern Africa (African Union),Madagascar,MDG,,,
AU,AU_EASTERN_AFRICA,Eastern Africa (African Union),Mauritius,MUS,,,
AU,AU_EASTERN_AFRICA,Eastern Africa (African Union),Rwanda,RWA,,,
AU,AU_EASTERN_AFRICA,Eastern Africa (African Union),Seychelles,SYC,,,
AU,AU_EASTERN_AFRICA,Eastern Africa (African Union),Somalia,SOM,,,
AU,AU_EASTERN_AFRICA,Eastern Africa (African Union),South Sudan,SSD,,,
AU,AU_EASTERN_AFRICA,Eastern Africa (African Union),Sudan,SDN,,,
AU,AU_EASTERN_AFRICA,Eastern Africa (African Union),Uganda,UGA,,,
AU,AU_EASTERN_AFRICA,Eastern Africa (African Union),United Republic of Tanzania,TZA,,,
AU,AU_NORTHERN_AFRICA,Northern Africa (African Union),Algeria,DZA,,,
AU,AU_NORTHERN_AFRICA,Northern Africa (African Union),Egypt,EGY,,,
AU,AU_NORTHERN_AFRICA,Northern Africa (African Union),Libya,LBY,,,
