ISO3Code,Regional_Grouping,Region,Region_Code
AFG,UNICEF_SOWC,World,UNICEF_World
AGO,UNICEF_SOWC,World,UNICEF_World
AIA,UNICEF_SOWC,World,UNICEF_World
ALB,UNICEF_SOWC,World,UNICEF_World
AND,UNICEF_SOWC,World,UNICEF_World
ARE,UNICEF_SOWC,World,UNICEF_World
ARG,UNICEF_SOWC,World,UNICEF_World
ARM,UNICEF_SOWC,World,UNICEF_World
ATG,UNICEF_SOWC,World,UNICEF_World
AUS,UNICEF_SOWC,World,UNICEF_World
AUT,UNICEF_SOWC,World,UNICEF_World
AZE,UNICEF_SOWC,World,UNICEF_World
BDI,UNICEF_SOWC,World,UNICEF_World
BEL,UNICEF_SOWC,World,UNICEF_World
BEN,UNICEF_SOWC,World,UNICEF_World
BFA,UNICEF_SOWC,World,UNICEF_World
BGD,UNICEF_SOWC,World,UNICEF_World
BGR,UNICEF_SOWC,World,UNICEF_World
BHR,UNICEF_SOWC,World,UNICEF_World
BHS,UNICEF_SOWC,World,UNICEF_World
BIH,UNICEF_SOWC,World,UNICEF_World
BLR,UNICEF_SOWC,World,UNICEF_World
BLZ,UNICEF_SOWC,World,UNICEF_World
BOL,UNICEF_SOWC,World,UNICEF_World
BRA,UNICEF_SOWC,World,UNICEF_World
BRB,UNICEF_SOWC,World,UNICEF_World
BRN,UNICEF_SOWC,World,UNICEF_World
BTN,UNICEF_SOWC,World,UNICEF_World
BWA,UNICEF_SOWC,World,UNICEF_World
CAF,UNICEF_SOWC,World,UNICEF_World
CAN,UNICEF_SOWC,World,UNICEF_World
CHE,UNICEF_SOWC,World,UNICEF_World
CHL,UNICEF_SOWC,World,UNICEF_World
CHN,UNICEF_SOWC,World,UNICEF_World
CIV,UNICEF_SOWC,World,UNICEF_World
CMR,UNICEF_SOWC,World,UNICEF_World
COD,UNICEF_SOWC,World,UNICEF_World
COG,UNICEF_SOWC,World,UNICEF_World
COK,UNICEF_SOWC,World,UNICEF_World
COL,UNICEF_SOWC,World,UNICEF_World
COM,UNICEF_SOWC,World,UNICEF_World
CPV,UNICEF_SOWC,World,UNICEF_World
CRI,UNICEF_SOWC,World,UNICEF_World
CUB,UNICEF_SOWC,World,UNICEF_World
CYP,UNICEF_SOWC,World,UNICEF_World
CZE,UNICEF_SOWC,World,UNICEF_World
DEU,UNICEF_SOWC,World,UNICEF_World
DJI,UNICEF_SOWC,World,UNICEF_World
DMA,UNICEF_SOWC,World,UNICEF_World
DNK,UNICEF_SOWC,World,UNICEF_World
DOM,UNICEF_SOWC,World,UNICEF_World
DZA,UNICEF_SOWC,World,UNICEF_World
ECU,UNICEF_SOWC,World,UNICEF_World
EGY,UNICEF_SOWC,World,UNICEF_World
ERI,UNICEF_SOWC,World,UNICEF_World
ESP,UNICEF_SOWC,World,UNICEF_World
EST,UNICEF_SOWC,World,UNICEF_World
ETH,UNICEF_SOWC,World,UNICEF_World
FIN,UNICEF_SOWC,World,UNICEF_World
FJI,UNICEF_SOWC,World,UNICEF_World
FRA,UNICEF_SOWC,World,UNICEF_World
FSM,UNICEF_SOWC,World,UNICEF_World
GAB,UNICEF_SOWC,World,UNICEF_World
GBR,UNICEF_SOWC,World,UNICEF_World
GEO,UNICEF_SOWC,World,UNICEF_World
GHA,UNICEF_SOWC,World,UNICEF_World
GIN,UNICEF_SOWC,World,UNICEF_World
GMB,UNICEF_SOWC,World,UNICEF_World
GNB,UNICEF_SOWC,World,UNICEF_World
GNQ,UNICEF_SOWC,World,UNICEF_World
GRC,UNICEF_SOWC,World,UNICEF_World
GRD,UNICEF_SOWC,World,UNICEF_World
GTM,UNICEF_SOWC,World,UNICEF_World
GUY,UNICEF_SOWC,World,UNICEF_World
HND,UNICEF_SOWC,World,UNICEF_World
HRV,UNICEF_SOWC,World,UNICEF_World
HTI,UNICEF_SOWC,World,UNICEF_World
HUN,UNICEF_SOWC,World,UNICEF_World
IDN,UNICEF_SOWC,World,UNICEF_World
IND,UNICEF_SOWC,World,UNICEF_World
IRL,UNICEF_SOWC,World,UNICEF_World
IRN,UNICEF_SOWC,World,UNICEF_World
IRQ,UNICEF_SOWC,World,UNICEF_World
ISL,UNICEF_SOWC,World,UNICEF_World
ISR,UNICEF_SOWC,World,UNICEF_World
ITA,UNICEF_SOWC,World,UNICEF_World
JAM,UNICEF_SOWC,World,UNICEF_World
JOR,UNICEF_SOWC,World,UNICEF_World
JPN,UNICEF_SOWC,World,UNICEF_World
KAZ,UNICEF_SOWC,World,UNICEF_World
KEN,UNICEF_SOWC,World,UNICEF_World
KGZ,UNICEF_SOWC,World,UNICEF_World
KHM,UNICEF_SOWC,World,UNICEF_World
KIR,UNICEF_SOWC,World,UNICEF_World
KNA,UNICEF_SOWC,World,UNICEF_World
KOR,UNICEF_SOWC,World,UNICEF_World
KWT,UNICEF_SOWC,World,UNICEF_World
LAO,UNICEF_SOWC,World,UNICEF_World
LBN,UNICEF_SOWC,World,UNICEF_World
