Regional_Grouping,Region,Region_Code,ISO3Code
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,AGO
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,BEN
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,BFA
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,BDI
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,BWA
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,CAF
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,CIV
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,CMR
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,COD
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,COG
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,COM
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,CPV
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,DJI
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,ETH
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,GAB
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,GIN
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,LBY
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,LSO
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,MDG
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,MLI
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,MOZ
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,MRT
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,NAM
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,NER
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,NGA
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,SDN
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,SEN
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,SLE
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,STP
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,SSD
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,SWZ
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,SYC
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,TCD
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,TGO
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,UGA
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,TZA
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,ZMB
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,ZAF
UNICEF_REP_REG_GLOBAL,Sub-Saharan Africa,UNICEF_SSA,ZWE
UNICEF_REP_REG_GLOBAL,Middle East and North Africa,UNICEF_MENA,ARE
UNICEF_REP_REG_GLOBAL,Middle East and North Africa,UNICEF_MENA,BHR
UNICEF_REP_REG_GLOBAL,Middle East and North Africa,UNICEF_MENA,DZA
UNICEF_REP_REG_GLOBAL,Middle East and North Africa,UNICEF_MENA,EGY
UNICEF_REP_REG_GLOBAL,Middle East and North Africa,UNICEF_MENA,IRN
UNICEF_REP_REG_GLOBAL,Middle East and North Africa,UNICEF_MENA,IRQ
UNICEF_REP_REG_GLOBAL,Middle East and North Africa,UNICEF_MENA,ISR
UNICEF_REP_REG_GLOBAL,Middle East and North Africa,UNICEF_MENA,JOR
UNICEF_REP_REG_GLOBAL,Middle East and North Africa,UNICEF_MENA,KWT
UNICEF_REP_REG_GLOBAL,Middle East and North Africa,UNICEF_MENA,LBN
UNICEF_REP_REG_GLOBAL,Middle East and North Africa,UNICEF_MENA,LBY
UNICEF_REP_REG_GLOBAL,Middle East and North Africa,UNICEF_MENA,MAR
UNICEF_REP_REG_GLOBAL,Middle East and North Africa,UNICEF_MENA,OMN
UNICEF_REP_REG_GLOBAL,Middle East and North Africa,UNICEF_MENA,PSE
UNICEF_REP_REG_GLOBAL,Middle East and North Africa,UNICEF_MENA,QAT
UNICEF_REP_REG_GLOBAL,Middle East and North Africa,UNICEF_MENA,SAU
UNICEF_REP_REG_GLOBAL,Middle East and North Africa,UNICEF_MENA,SYR
UNICEF_REP_REG_GLOBAL,Middle East and North Africa,UNICEF_MENA,TUN
UNICEF_REP_REG_GLOBAL,Middle East and North Africa,UNICEF_MENA,YEM
UNICEF_REP_REG_GLOBAL,South Asia,UNICEF_SA,AFG
UNICEF_REP_REG_GLOBAL,South Asia,UNICEF_SA,BGD
UNICEF_REP_REG_GLOBAL,South Asia,UNICEF_SA,BTN
UNICEF_REP_REG_GLOBAL,South Asia,UNICEF_SA,IND
UNICEF_REP_REG_GLOBAL,South Asia,UNICEF_SA,LKA
UNICEF_REP_REG_GLOBAL,South Asia,UNICEF_SA,MDV
UNICEF_REP_REG_GLOBAL,South Asia,UNICEF_SA,NPL
UNICEF_REP_REG_GLOBAL,South Asia,UNICEF_SA,PAK
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,AUS
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,BRN
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,CHN
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,COK
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,FJI
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,FSM
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,IDN
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,JPN
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,KHM
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,KIR
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,KOR
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,LAO
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,MHL
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,MMR
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,MNG
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,MYS
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,NIU
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,NRU
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,NZL
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,PHL
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,PLW
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,PNG
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,PRK
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,SGP
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,SLB
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,THA
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,TKL
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,TLS
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,TON
UNICEF_REP_REG_GLOBAL,East Asia and Pacific,UNICEF_EAP,TUV
