M49_code,M49_label,UNICEF_code,UNICEF_label,Notes
1,World,UNSDG_REGION_GLOBAL,SDG regions - Global (UNSDG),
2,Africa,UNSDG_AFRICA,Africa (UNSDG),
5,South America,UNSDG_SOUTHAMR,South America (UNSDG),
9,Oceania,UNSDG_OCEANIA,Oceania (UNSDG),
11,Western Africa,UNSDG_WESTERNAFR,Western Africa (UNSDG),
13,Central America,UNSDG_CENTRALAMR,Central America (UNSDG),
14,Eastern Africa,UNSDG_EASTERNAFR,Eastern Africa (UNSDG),
15,Northern Africa,UNSDG_NORTHAFR,Northern Africa (UNSDG),
17,Middle Africa,UNSDG_MIDDLEAFR,Middle Africa (UNSDG),
18,Southern Africa,UNSDG_SOUTHERNAFR,Southern Africa (UNSDG),
19,Americas,UNSDG_AMERICAS,Americas (UNSDG),
21,Northern America,UNSDG_NORTHERNAMR,Northern America (UNSDG),
29,Caribbean,UNSDG_CARIBBEAN,Caribbean (UNSDG),
30,Eastern Asia,UNSDG_EASTERNASIA,Eastern Asia (UNSDG),
34,Southern Asia,UNSDG_SOUTHASIA,Southern Asia (UNSDG),
35,South-Eastern Asia,UNSDG_SOUTHEASTERNASIA,South-eastern Asia (UNSDG),
39,Southern Europe,UNSDG_SOUTHERNEUROPE,Southern Europe (UNSDG),
53,Australia and New Zealand,UNSDG_AUSTRALIANEWZEALAND,Australia and New Zealand (UNSDG),
54,Melanesia,UNSDG_MELANESIA,Melanesia (UNSDG),
57,Micronesia,UNSDG_MICRONESIA,Micronesia (UNSDG),
61,Polynesia,UNSDG_POLYNESIA,Polynesia (UNSDG),
62,Central and Southern Asia,UNSDG_CENTRALASIASOUTHERNASIA,Central and Southern Asia (UNSDG),
135,Caucasus and Central Asia,UNSDG_CAUCASUS_CENTRALASIA,Caucasus and Central Asia (UNSDG),
142,Asia,UNSDG_ASIA,Asia (UNSDG),
143,Central Asia,UNSDG_CENTRALASIA,Central Asia (UNSDG),
145,Western Asia,UNSDG_WESTERNASIA,Western Asia (UNSDG),
150,Europe,UNSDG_EUROPE,Europe (UNSDG),
151,Eastern Europe,UNSDG_EASTERNEUROPE,Eastern Europe (UNSDG),
154,Northern Europe,UNSDG_NORTHERNEUROPE,Northern Europe (UNSDG),
155,Western Europe,UNSDG_WESTERNEUROPE,Western Europe (UNSDG),
199,Least Developed Countries (LDCs),UNSDG_LDC,Least Developed Countries (LDC) (UNSDG),
202,Sub-Saharan Africa,UNSDG_SUBSAHARANAFRICA,Sub-Saharan Africa (UNSDG),
419,Latin America and the Caribbean,UNSDG_LAC,Latin America and the Caribbean (UNSDG),
432,Landlocked developing countries (LLDCs),UNSDG_LLDC,Landlocked developing countries (LLDC) (UNSDG),
485,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,,
513,Europe and Northern America,UNSDG_EUROPENORTHERNAMR,Europe and Northern America (UNSDG),
514,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,,
515,Developing regions,,,
518,Eastern Asia (excluding Japan),,,
543,Oceania (exc. Australia and New Zealand),UNSDG_OCEANIAexAUSNZL,Oceania (exc. Australia and New Zealand) (UNSDG),
722,Small island developing States (SIDS),UNSDG_SIDS,Small island developing States (SIDS) (UNSDG),
738,Sub-Saharan Africa (inc. Sudan),,,
746,Northern Africa (exc. Sudan),,,
747,Northern Africa and Western Asia,UNSDG_WESTERNASIANORTHERNAFR,Northern Africa and Western Asia (UNSDG),
753,Eastern and South-Eastern Asia,UNSDG_EASTERNASIASOUTHEASTERNASIA,Eastern and South-Eastern Asia (UNSDG),
