ISO3Code,Regional_Grouping,Region,Region_Code
AFG,UNICEF_SOWC,World,
AGO,UNICEF_SOWC,World,
AIA,UNICEF_SOWC,World,
ALB,UNICEF_SOWC,World,
AND,UNICEF_SOWC,World,
ARE,UNICEF_SOWC,World,
ARG,UNICEF_SOWC,World,
ARM,UNICEF_SOWC,World,
ATG,UNICEF_SOWC,World,
AUS,UNICEF_SOWC,World,
AUT,UNICEF_SOWC,World,
AZE,UNICEF_SOWC,World,
BDI,UNICEF_SOWC,World,
BEL,UNICEF_SOWC,World,
BEN,UNICEF_SOWC,World,
BFA,UNICEF_SOWC,World,
BGD,UNICEF_SOWC,World,
BGR,UNICEF_SOWC,World,
BHR,UNICEF_SOWC,World,
BHS,UNICEF_SOWC,World,
BIH,UNICEF_SOWC,World,
BLR,UNICEF_SOWC,World,
BLZ,UNICEF_SOWC,World,
BOL,UNICEF_SOWC,World,
BRA,UNICEF_SOWC,World,
BRB,UNICEF_SOWC,World,
BRN,UNICEF_SOWC,World,
BTN,UNICEF_SOWC,World,
BWA,UNICEF_SOWC,World,
CAF,UNICEF_SOWC,World,
CAN,UNICEF_SOWC,World,
CHE,UNICEF_SOWC,World,
CHL,UNICEF_SOWC,World,
CHN,UNICEF_SOWC,World,
CIV,UNICEF_SOWC,World,
CMR,UNICEF_SOWC,World,
COD,UNICEF_SOWC,World,
COG,UNICEF_SOWC,World,
COK,UNICEF_SOWC,World,
COL,UNICEF_SOWC,World,
COM,UNICEF_SOWC,World,
CPV,UNICEF_SOWC,World,
CRI,UNICEF_SOWC,World,
CUB,UNICEF_SOWC,World,
CYP,UNICEF_SOWC,World,
CZE,UNICEF_SOWC,World,
DEU,UNICEF_SOWC,World,
DJI,UNICEF_SOWC,World,
DMA,UNICEF_SOWC,World,
DNK,UNICEF_SOWC,World,
DOM,UNICEF_SOWC,World,
DZA,UNICEF_SOWC,World,
ECU,UNICEF_SOWC,World,
EGY,UNICEF_SOWC,World,
ERI,UNICEF_SOWC,World,
ESP,UNICEF_SOWC,World,
EST,UNICEF_SOWC,World,
ETH,UNICEF_SOWC,World,
FIN,UNICEF_SOWC,World,
FJI,UNICEF_SOWC,World,
